电影名称（中文）,电影名称（英文）,排名,年份,评分,导演,主要演员,类型,国家/地区,语言,时长,热门评论
小森林,夏秋篇 リトル・フォレスト 夏・秋,No.110,2014,9.0,森淳一,桥本爱 / 三浦贵大 / 松冈茉优 / 温水洋一 / 桐岛加恋,剧情, 日本, 日语,111分钟,那些静得只能听见呼吸的日子里，你明白孤独即生活。
你的名字。,君の名は。,No.164,2016,8.5,新海诚,神木隆之介 / 上白石萌音 / 长泽雅美 / 市原悦子 / 成田凌 / 悠木碧 / 岛崎信长 / 石川界人 / 谷花音 / 寺杣昌纪 / 大原沙耶香 / 井上和彦 / 茶风林 / 加藤有花 / 花泽香菜 / 寺崎裕香,剧情/爱情/动画, 日本, 日语,106分钟,这一次要给新海诚打200分，在我鄙视他不过只是纯情小清新的10年前，没料到有朝一日会在电影院里哭到断气。恍惚看到了穿越时空少女时期的细田守。为所有的少女心和中二病鼓掌，青春不死就能相遇，就能拯救地球。现在我抹着眼泪走出影厅，看到后排的少年摘下眼镜，嚎啕大哭起来。。。
阿凡达,Avatar,No.75,2009,8.8,詹姆斯·卡梅隆,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗 / 史蒂芬·朗 / 米歇尔·罗德里格兹 / 吉奥瓦尼·瑞比西 / 乔·大卫·摩尔  / 希·庞德 / 韦斯·斯塔迪 / 拉兹·阿隆索 / 迪利普·劳 / 马特·杰拉德 / 肖恩·安东尼·莫兰,动作/科幻/冒险, 美国, 英语 / 西班牙语,162分钟,"抱歉，2012？在Avatar面前不过是小儿科！
只有一句话：这是史上最强科幻！
可恶的卡梅隆，你要让未来十年的所有科幻片都味同嚼蜡了！
因为所有观众的审美标准已经一口气被你提高了几个档次！
这部电影，不去剧院看绝对一辈子后悔
最后，感谢上帝赐给我们一个James Cameron"
触不可及,Intouchables,No.26,2011,9.3,奥利维埃·纳卡什 / 埃里克·托莱达诺,弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼 / 奥德雷·弗勒罗 / 托马·索利韦尔,剧情/喜剧, 法国, 法语,112分钟,我想每个人都至少有这么一个挚友，你和他/她在人生的拐点遇到，惊叹于彼此的不同或者相似，有过不少平淡无奇却值得纪念的时光，ta会将心比心，为你的哀伤扼腕，为你的快慰击节，更会在ta的心里，为你留下那么一块永恒的位置，任白云苍狗，风云变幻。 
城市之光,City Lights,No.198,1931,9.3,查理·卓别林,查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李 / 亨利·伯格曼 / 珍·哈露,剧情/喜剧/爱情, 美国, 英语,87 分钟,”假如我们长时间地、专注看一个好笑的故事，它会变得越来越悲哀“——果戈理
美国往事,Once Upon a Time in America,No.80,1984,9.2,赛尔乔·莱昂内,罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文 / 乔·佩西 / 波特·杨 / 塔斯黛·韦尔德 / 特里特·威廉斯 / 丹尼·爱罗 / 理查德·布赖特 / 詹姆斯·海登 / 威廉·弗西斯 / 达兰妮·弗鲁格 / 拉里·拉普 / 理查德·弗让吉 / 罗伯特·哈珀 / 詹妮弗·康纳利,剧情/犯罪, 美国 / 意大利, 英语 / 法语 / 意大利语,229分钟(导演剪辑版),两场强暴戏毕竟是吃不消，男性的传奇之路上似乎最少不得的就是美丽而无人格的女性牺牲品
东邪西毒,東邪西毒,No.182,1994,8.6,王家卫,张国荣 / 林青霞 / 梁朝伟 / 张学友 / 张曼玉 / 刘嘉玲 / 梁家辉 / 杨采妮 / 邹兆龙,剧情/动作/爱情/武侠/古装, 中国香港 / 中国台湾, 粤语 / 汉语普通话,100分钟,给我一坛醉生梦死酒。
朗读者,The Reader,No.243,2008,8.6,史蒂芬·戴德利,凯特·温丝莱特 / 大卫·克劳斯 / 拉尔夫·费因斯 / 詹妮特·海因 / 苏珊娜·洛塔尔 / Alissa Wilms / 弗罗里安·巴西奥罗麦 / 弗里德里克·贝希特 / 马蒂亚斯·哈比希 / Frieder Venus / Marie-Anne Fliegel / Hendrik Arnst / Rainer Sellien / 托尔斯滕·米凯利斯 / Moritz Grove,剧情/爱情, 美国 / 德国, 英语 / 德语 / 希腊语 / 拉丁语,124 分钟,要不是那天的呕吐，也就不会有这么一段爱情。
超脱,Detachment,No.101,2011,8.9,托尼·凯耶,艾德里安·布洛迪 / 马西娅·盖伊·哈登 / 詹姆斯·肯恩 / 克里斯蒂娜·亨德里克斯 / 刘玉玲 / 布莱思·丹纳 / 蒂姆·布雷克·尼尔森 / 威廉·彼德森 / 布莱恩·科兰斯顿 / 萨米·盖尔 / 路易斯·佐里奇 / 小伊塞亚·维特洛克 / 大卫·豪森 / 约翰·塞纳迭姆博 / 西莉亚·奥 / 罗南·鲁宾斯坦 / 阿尔·卡尔德隆 / 布雷南·布朗 / 里根·利奥纳德 / 詹姆斯·霍西 / 乔什·帕斯 / 瑞内·菲利斯·史密斯 / 道格·伊·道格 / 帕特里夏·雷 / 萨曼萨·罗根 / 拉尔夫·罗德里格斯,剧情, 美国, 英语,98分钟,这是一部不推荐看的好电影。没病的都要看出病的。好的作品分两种，一是发现世界的极美，二是挖掘人间的极苦。这部就是后者。
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,No.93,2003,8.8,戈尔·维宾斯基,约翰尼·德普 / 杰弗里·拉什 / 奥兰多·布鲁姆 / 凯拉·奈特莉 / 杰克·达文波特 / 乔纳森·普雷斯,动作/奇幻/冒险, 美国, 英语,143 分钟,讲个小故事吧，有个小女孩给JohnnyDepp写信，希望他带着他的部下去学校铲除校长，于是JohnnyDepp打电话给学校，让学校把学生带到礼堂，这时候JohnnyDepp带着演员么冲上舞台，全场欢呼。嗯，我爱如此感人的故事
花样年华,花樣年華,No.158,2000,8.7,王家卫,梁朝伟 / 张曼玉 / 潘迪华 / 萧炳林 / 张耀扬 / 孙佳君 / 钱似莺 / 顾锦华,剧情/爱情, 中国香港, 粤语 / 上海话 / 法语,98 分钟,张曼玉比梁朝伟高，但他们站在一起那么协调。想来，是穿了高跟鞋的她，懂得委婉地低头的缘故。
断背山,Brokeback Mountain,No.103,2005,8.8,李安,希斯·莱杰 / 杰克·吉伦哈尔 / 米歇尔·威廉姆斯 / 安妮·海瑟薇 / 凯特·玛拉 / 兰迪·奎德 / 琳达·卡德里尼 / 安娜·法瑞丝 / 格拉汉姆·贝克尔 / 斯科特·迈克尔·坎贝尔 / 大卫·哈伯 / 罗伯塔·马克斯韦尔 / 皮特·麦克罗比 / 夏恩·希尔 / 布鲁克琳·普劳克斯 / 杰克·丘奇,剧情/爱情/同性/家庭, 美国 / 加拿大, 英语,134分钟,这就是他们的命吧。李安说：人人的心中都有一座断背山。其实，不如说每个人都有回不去的地方。一个夏天的故事就是一辈子的回忆，因为这种不等式的交换才让他们生命的价值显得悲壮而又无奈。烟花已灭，埃尼斯与杰克都在黑暗之中，一开始看不清别人，也看不清楚自己，可慢慢的都习惯了。潮起潮落，有的人认命了，就飘飘荡荡地活着，有的人不肯认命，就挣扎地想抱一丝希望，无非是想多找到一点可以温暖的回忆。其实，不管怎样都是不容...这就是他们的命吧。李安说：人人的心中都有一座断背山。其实，不如说每个人都有回不去的地方。一个夏天的故事就是一辈子的回忆，因为这种不等式的交换才让他们生命的价值显得悲壮而又无奈。烟花已灭，埃尼斯与杰克都在黑暗之中，一开始看不清别人，也看不清楚自己，可慢慢的都习惯了。潮起潮落，有的人认命了，就飘飘荡荡地活着，有的人不肯认命，就挣扎地想抱一丝希望，无非是想多找到一点可以温暖的回忆。其实，不管怎样都是不容易，费劲是相当费劲的，除此之外也没更多选择。()
寄生虫,기생충,No.149,2019,8.8,奉俊昊,宋康昊 / 李善均 / 赵汝贞 / 崔宇植 / 朴素丹 / 李姃垠 / 张慧珍 / 郑知晓 / 朴明勋 / 朴叙俊 / 朴根禄 / 郑贤俊 / 朴孝新 / 安德烈亚斯·弗龙克,剧情/喜剧, 韩国, 韩语 / 英语,132分钟,沐浴庭院里的阳光就能进化成人，呼吸暗室里的空气只会走肉如鬼。抱上贫穷的石头终生无法脱手，染上廉价的气味永世不能消除。蜷缩地下的臭虫，用药剂开窗替自己杀菌；位居高处的宿主，用金钱雇人给自己消毒。富人吸着穷人的血高升，穷人寄在富人的屋苟活，人鬼同处一室分享食物，虫兽寄生一体发育恩仇。
少年派的奇幻漂流,Life of Pi,No.41,2012,9.1,李安,苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波 / 阿迪勒·侯赛因 / 塔布 / 阿尤什·坦东 / 加塔姆·贝鲁尔 / 阿彦·汗 / 穆德·阿巴斯·卡勒里 / 维比什·希瓦库玛 / 热拉尔·德帕迪约 / 詹姆斯·塞托 / 俊·奈托 / 安德里亚·迪·斯戴法诺 / 沙拉万提·塞纳特 / 王柏杰 / 柯一正 / 黄健玮,剧情/奇幻/冒险, 美国 / 中国台湾 / 英国 / 加拿大, 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话,127分钟,整座岛上都是丁满！！！
谍影重重,The Bourne Identity,No.236,2002,8.6,道格·里曼,马特·达蒙 / 弗朗卡·波滕特 / 克里斯·库珀 / 克里夫·欧文 / 朱丽娅·斯蒂尔斯 / 布莱恩·考克斯 / 阿德沃尔·阿吉纽依-艾格拜吉 / 加布里埃尔·曼 / 沃尔顿·戈金斯 / 约什·汉密尔顿 / 奥尔索·马利亚·奎利尼,动作/悬疑/惊悚, 美国 / 德国 / 捷克, 英语 / 法语 / 德语 / 荷兰语 / 意大利语,119分钟,喜欢Bourne的冷静。当Matt Damon打开银行的保险柜时，我突然发觉，世界之大，持有三样东西便可畅通无阻：金钱，身份（也可理解为地位），枪（强权）。要求自己象特工一样生活显然是很辛苦且不切实际的，然而，有些时候，特别是面对危机，试着用特工的思维方式去看待问题也许会很有效，特别是对于男生。
玩具总动员3,Toy Story 3,No.140,2010,8.9,李·昂克里奇,汤姆·汉克斯 / 蒂姆·艾伦 / 琼·库萨克 / 尼德·巴蒂 / 唐·里克斯 / 迈克尔·基顿,喜剧/动画/奇幻/冒险, 美国, 英语 / 西班牙语,103分钟,让我笑已经够了，居然还能让我哭，nice job！
新世界,신세계,No.153,2013,8.9,朴勋政,李政宰 / 崔岷植 / 黄政民 / 宋智孝 / 朴圣雄 / 金秉玉 / 金胤成,剧情/犯罪, 韩国, 韩语 / 汉语普通话,134分钟,弄巧成拙姜科长，无心插柳李子成，唯我独尊李仲久，超长待机是丁青，壮哉天朝大黑客，实力助攻小延边，智商不够高局长，我没看够宋智孝
疯狂的石头, ,No.189,2006,8.5,宁浩,郭涛 / 刘桦 / 连晋 / 黄渤 / 徐峥 / 岳小军 / 罗兰 / 王迅,喜剧/犯罪, 中国大陆 / 中国香港, 汉语普通话 / 重庆话,106分钟(香港),中国最nb的片
千钧一发,Gattaca,No.225,1997,8.8,安德鲁·尼科尔,伊桑·霍克 / 乌玛·瑟曼 / 裘德·洛 / 艾伦·阿金 / 戈尔·维达尔 / 山德·贝克利 / 劳恩·迪恩 / 简妮·布鲁克 / 伊莱亚斯·科泰斯 / 玛娅·鲁道夫 / 伍娜·戴蒙 / 布莱尔·安德伍德 / 梅森·甘布 / 威廉姆·李·斯科特 / 欧内斯特·博格宁 / 托尼·夏尔赫布 / 肯·马里诺 / 加布里埃尔·瑞丝 / 迪恩·诺里斯 / 丹格里芬 / 格雷戈·赛斯特罗 / Elizabeth Dennehy / 查德·克里斯特 / George Marshall Ruge,剧情/科幻/惊悚, 美国, 英语 / 世界语,106分钟,人类的历史就是一部歧视史，财富、地位、年龄、性向、肤色...基因决定人生，不过是把这种歧视从人的出生开始以科学的形式固定下来。电影想讲述的是：我也许没有伟大的基因，但我有一颗造梦的心——我就是那个统计学上渺小到不计、但没人可以抹去的1%。
终结者2：审判日,Terminator 2: Judgment Day,No.210,1991,8.8,詹姆斯·卡梅隆,阿诺·施瓦辛格 / 琳达·汉密尔顿 / 爱德华·福隆 / 罗伯特·帕特里克 / 阿尔·伯恩 / 乔·莫顿 / 埃帕莎·默克森 / 卡斯图罗·格雷拉 / 丹尼·库克塞 / 詹妮特·戈德斯坦恩 / 山德·贝克利 / 莱思莉·汉密尔顿·格伦 / 彼得·舒鲁姆 / 唐·雷克 / 吉姆·帕尔默 / 格温达·迪肯 / 科林·帕特里克·林奇 / 妮基·考克斯 / 德沃恩·尼克森 / 阿卜杜勒·萨拉姆·埃尔·拉扎克 / 迈克·马斯喀特 / 迪恩·诺里斯 / 查尔斯·A·坦伯罗 / 丹尼·皮尔斯 / 马克·克里斯托弗·劳伦斯 / 林凡  / 乔尔·克莱默 / 斯科特·肖 / 史文-欧尔·托尔森 / 小威廉·威谢尔 / Ken Gibbel / Robert Winley / Michael Edwards / Don Stanton / Dan Stanton / Lisa Brinegar / Dalton Abbott / Bret A. Arnold / Martin Deluca,动作/科幻, 美国 / 法国, 英语 / 西班牙语,137分钟,比3强太多了
虎口脱险,La grande vadrouille,No.200,1966,8.9,热拉尔·乌里,路易·德·菲奈斯 / 布尔维尔 / 克劳迪奥·布鲁克 / 安德丽·帕里西 / 科莱特·布罗塞 / 迈克·马歇尔 / 玛丽·马凯 / 皮埃尔·贝尔坦 / 本诺·施特岑巴赫 / 玛丽·杜布瓦 / 特里-托马斯 / 西戈德·拉普 / 赖因哈德·科尔德霍夫 / 赫尔穆特·施奈德 / 保罗·普雷博伊斯特 / 汉斯·迈尔 / 居伊·格罗索 / 米歇尔·莫多 / 彼得·雅各布 / 吕迪·勒努瓦 / 诺埃尔·达扎尔 / 皮埃尔·鲁塞尔 / 皮埃尔·巴斯蒂安 / 雅克·萨布隆 / 玛格·阿夫里尔 / 雅克·博杜因 / 加布里埃尔·戈班 / 保罗·梅塞 / 亨利·热内斯,喜剧/战争, 法国 / 英国, 法语 / 英语 / 德语,132分钟,"看过不下20遍,从小到大都喜欢的电影"
无间道2,無間道II,No.211,2003,8.7,刘伟强 / 麦兆辉,陈冠希 / 余文乐 / 曾志伟 / 黄秋生 / 吴镇宇 / 刘嘉玲 / 胡军 / 张耀扬 / 杜汶泽 / 连凯 / 廖启智 / 惠英红,剧情/惊悚/犯罪, 中国香港, 粤语 / 英语 / 汉语普通话 / 泰语,119分钟,吴镇宇绝了
浪潮,Die Welle,No.248,2008,8.7,丹尼斯·甘塞尔,于尔根·福格尔 / 弗雷德里克·劳 / 马克思·雷迈特 / 詹妮弗·乌尔里希 / 克里斯蒂安娜·保罗 / 雅各布·马琛茨 / 克里斯蒂娜·度·瑞格 / 埃利亚斯·穆巴里克 / 马克西米利安·福尔马尔 / 马克斯·毛夫,剧情/惊悚, 德国, 德语,107 分钟,君子朋而不党。保持每一个独立思考和人格。这是我反对任何机构和活动“党同伐异”的基本原因。包括乐迷、包括观众、包括粉丝，狂热的、无理性的、邪恶的、革命的、红卫兵式的、党卫军式的群体爆发。这不是游戏。后果不堪设想。你知道我在说什么。 
一一, ,No.113,2000,9.1,杨德昌,吴念真 / 李凯莉 / 金燕玲 / 张洋洋 / 萧淑慎 / 尾形一成 / 陈希圣 / 林孟瑾 / 陈以文 / 柯宇纶 / 张育邦 / 柯素云 / 唐如韫 / 徐淑媛 / 曾心怡 / 陶传正,剧情/爱情/家庭, 中国台湾 / 日本, 汉语普通话 / 闽南语 / 英语 / 日语,173分钟,婆婆，对不起，不是我不喜欢跟你讲话，只是我觉得我能跟你讲的你一定老早就知道了。不然，你就不会每次都叫我“听话”。就像他们都说你走了，你也没有告诉我你去了哪里，所以，我觉得，那一定是我们都知道的地方。婆婆，我不知道的事情太多了，所以，你知道我以后想做什么吗？我要去告诉别人他们不知道的事情，给别人看他们看不到的东西。我想，这样一定天天都很好玩。说不定，有一天，我会发现你到底去了哪里。到时候，我可不可以...婆婆，对不起，不是我不喜欢跟你讲话，只是我觉得我能跟你讲的你一定老早就知道了。不然，你就不会每次都叫我“听话”。就像他们都说你走了，你也没有告诉我你去了哪里，所以，我觉得，那一定是我们都知道的地方。婆婆，我不知道的事情太多了，所以，你知道我以后想做什么吗？我要去告诉别人他们不知道的事情，给别人看他们看不到的东西。我想，这样一定天天都很好玩。说不定，有一天，我会发现你到底去了哪里。到时候，我可不可以跟大家讲，找大家一起过来看你呢？婆婆，我好想你，尤其是我看到那个还没有名字的小表弟，就会想起，你常跟我说：你老()
海街日记,海街diary,No.174,2015,8.8,是枝裕和,绫濑遥 / 长泽雅美 / 夏帆 / 广濑铃 / 大竹忍 / 堤真一 / 加濑亮 / 风吹淳 / 中川雅也 / 前田旺志郎 / 铃木亮平 / 坂口健太郎 / 树木希林,剧情/家庭, 日本, 日语,127分钟,四姐妹在自己家还得穿胸罩，看来大家的关系也没有很好！
音乐之声,The Sound of Music,No.73,1965,9.1,罗伯特·怀斯,朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克 / 理查德·海顿 / 佩吉·伍德 / 查尔敏·卡尔 / 希瑟·孟席斯-尤里克 / 尼古拉斯·哈蒙德 / 杜安·蔡斯 / 安吉拉·卡特怀特 / 黛比·特纳 / 基姆·卡拉思 / 安娜·李 / 波希娅·纳尔逊 / 本·怀特 / 丹尼尔·特鲁希特 / 诺玛·威登 / 吉尔克里斯特·斯图尔特 / 马妮·尼克松 / 埃瓦德妮·贝克 / 多丽丝·劳埃德 / 格特鲁德·阿斯特 / 弗兰克·贝克 / 史蒂夫·卡鲁瑟斯 / 山姆·哈里斯 / 多罗西·吉金斯 / 利奥达·理查德斯 / 杰弗里·塞尔 / 伯纳德·赛尔 / 诺尔曼·斯蒂凡斯 / 伯特史蒂文斯 / 玛丽亚·冯·特拉普,剧情/爱情/歌舞/传记, 美国, 英语 / 德语,174分钟,真希望世界像它描述的那么美好
时空恋旅人,About Time,No.131,2013,8.8,理查德·柯蒂斯,多姆纳尔·格里森 / 瑞秋·麦克亚当斯 / 比尔·奈伊 / 莉迪亚·威尔逊 / 琳赛·邓肯 / 理查德·科德里 / 约书亚·麦圭尔 / 汤姆·霍兰德 / 玛格特·罗比 / 维尔·梅里克 / 凡妮莎·柯比 / 汤姆·休斯 / 哈利·海顿-佩顿 / 米切尔·马伦 / 丽莎·艾科恩 / 珍妮·莱恩斯福德 / 菲利普-沃斯 / 凯瑟琳·斯戴曼 / 汤姆·斯托顿 / 安部春香 / 李·阿斯奎斯-柯 / 理查德·班克斯 / 保罗·布莱克维尔 / 贝恩·科拉科 / 格拉姆·柯里 / 罗薇娜·戴蒙德 / 约翰·达根 / 迪诺·法赞尼 / 内芙·加切夫 / 理查德·E·格兰特 / 理查德·格雷弗斯 / 李·尼古拉斯·哈里斯 / 理查德·赫德曼 / 李仙湖 / 马修·C·马蒂诺 / 马汀·麦格 / 艾莉克丝摩尔,喜剧/爱情/奇幻, 英国, 英语,123分钟,对于我们最爱的人，不说永远，只说珍惜。差点在电影院哭断气
